Partido,Dimensión,Categoría Tecnológica,Cita Textual de la Propuesta,Madurez
Partido Aprista Peruano,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"""El uso de tecnología y mecanismos de transparencia será preferente e intensivo. Se promoverá la destrucción creativa; es decir, el reemplazo constante, razonable e inteligente de estructuras socioeconómicas y políticas caducas."" Pág. 7",Declarativa
Partido Aprista Peruano,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,"""En el marco de un sistema integrado de salud, el Estado garantizará el acceso universal, inclusivo, equitativo, oportuno y de calidad para todos los peruanos."" Pág. 8",Declarativa
Partido Aprista Peruano,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,"""El Estado facilitará el crédito universitario para estudios de posgrado o científicos."" Pág. 8",Instrumental
Partido Aprista Peruano,"Sostenibilidad, Energía y Ambiente",Energías Limpias y Tecnologías Ambientales (GreenTech),"""La matriz energética peruana migrará hacia las energías renovables no convencionales."" Pág. 9",Declarativa
Partido Aprista Peruano,"Sostenibilidad, Energía y Ambiente",Energías Limpias y Tecnologías Ambientales (GreenTech),"""La economía del reciclaje será un pilar central de la cadena productiva peruana."" Pág. 9",Declarativa
Partido Aprista Peruano,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"""El nuevo régimen tributario incentivará la formalización y los emprendimientos, en beneficio de las MYPES, las cuales tributarán en un sistema impositivo progresivo."" Pág. 10",Programática
Partido Aprista Peruano,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,"""Se requiere la implementación urgente de un Sistema Integrado de Salud con un financiador único y universal, que ordene y regule las prestaciones y las condiciones de entrega de servicios a nivel nacional."" Pág. 17",Normativa/Estructurada
Partido Aprista Peruano,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,"""Implementar el uso de las tecnologías de la información: Telemedicina, inteligencia artificial, robotica, papel cero, entre otros."" Pág. 19",Instrumental
Partido Aprista Peruano,Salud y Seguridad Alimentaria,Inteligencia Artificial,"""Implementar el uso de las tecnologías de la información: Telemedicina, inteligencia artificial, robotica, papel cero, entre otros."" Pág. 19",Instrumental
Partido Aprista Peruano,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,"""Sistema integrado de información en salud con listado nominal de usuarios que permitan un seguimiento y transparencia del gasto."" Pág. 19",Programática
Partido Aprista Peruano,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,"""Ampliar el programa ""Todos Conectados"" del MTC, que brinda acceso a internet a instituciones educativas públicas."" Pág. 21",Programática
Partido Aprista Peruano,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,"""Lograr que el 70% de las escuelas públicas obtengan o mantengan una acreditación y certificación vigente en los próximos 3 años, garantizando estándares de calidad educativa que beneficien el aprendizaje y desarrollo de los estudiantes."" Pág. 21",Programática
Partido Aprista Peruano,"Desarrollo Territorial, Vivienda y Agua",Sistemas de Información y Software de Gestión,"""Actualizar el catastro nacional."" Pág. 23",Programática
Partido Aprista Peruano,"Desarrollo Territorial, Vivienda y Agua",Energías Limpias y Tecnologías Ambientales (GreenTech),"""Integración y reordenamiento institucional: se implementarán sistemas alternativos de electrificación bajo una sola rectoría los principales programas e intenciones de central realizar las obras para tener que la población cuente con energía fotovoltaica."" Pág. 23",Programática
Partido Aprista Peruano,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"""Implementar un sistema nacional integrado de desarrollo e inclusión social, sustentando en la interoperabilidad de programas eficaces de acceso a vivienda, como Techo Propio, Mi Vivienda y Piso Digno."" Pág. 23",Programática
Partido Aprista Peruano,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,"""Volumen de ventas en Plataforma Digital Estatal."" Pág. 28",Programática
Partido Aprista Peruano,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,"""Modernización y digitalización del Archivo y Biblioteca Nacional."" Pág. 28",Programática
Partido Aprista Peruano,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,"""Porcentaje del patrimonio documental histórico digitalizado."" Pág. 28",Programática
Partido Aprista Peruano,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,"""Actualización del Catastro Nacional de Patrimonio Arqueológico."" Pág. 28",Programática
Partido Aprista Peruano,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,"""Modificación normativa, con la finalidad de que los infantes con talentos deportivos accedan a un programa de fomento y alimentación de deportistas desde los 5 años."" Pág. 30",Normativa/Estructurada
Partido Aprista Peruano,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"""Implementar elecciones internas simultáneas y virtuales, organizadas y supervisadas por la ONPE, como mecanismo obligatorio de selección de candidatos."" Pág. 35",Normativa/Estructurada
Partido Aprista Peruano,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"""Implementar un sistema centralizado de rendición de cuentas digitales, bajo supervisión de la ONPE, que permita verificar en tiempo real el destino de los fondos y facilite la fiscalización ciudadana."" Pág. 40-41",Programática
Partido Aprista Peruano,"Seguridad Ciudadana, Defensa y Orden Interno",Big Data y Analítica de Datos,"""Dotarla de Dirección de Inteligencia, Operaciones Tácticas, Equipo Forense Digital y enlaces con INTERPOL/DINI/Migraciones/Fiscalía."" Pág. 43",Programática
Partido Aprista Peruano,"Seguridad Ciudadana, Defensa y Orden Interno",Inteligencia Artificial,"""Asistentes virtuales con IA para: redacción automatizada de oficios, informes, partes policiales y actas, y para elaboración de resúmenes ejecutivos de investigaciones en curso."" Pág. 44",Programática
